,평점,리뷰
249,5,이뻐용 사이즈 한치수나 두치수 크게 시키는게 좋을듯 하네용 .. 배송 엄청 빨라용
250,4,"신발 상태도 좋고, 좋내요 또 주문 하겠습니다!!!"
251,4,"신발 상태도 좋고, 아주 좋내요. 다음에 또 구매하겠습니다."
252,5,배송  100점디자인  100점착화감  100점상태  100점댓글보고 걱정반 기대반이었는데 정말 대만족입니다색상선택도 잘한거 같아요배송은 두말할거 없이 빨랐구요착용감도 정말 만족합니다 진품인즈 짭인지 모르겠지만 짭이라도 이정도라면 괜찮아요 ㅎㅎ
253,4,외관은 매장에서 본것과 같아요 착용감도 좋고가벼워요 정사이즈 입니다다만 아주 자세히 보면 접착 마감이......&amp;#40;민감하신분들은 마음에 안 드실수도 있겠네요~&amp;#41;내구성은 더 신어보아야 알겠지만 금방 에어가 터질것같진 않아요 이정도 품질에 이가격이면 아주 좋은것 같아요배송은 주문하고 3일 걸렸어요 다른색도 하나더 구입할까 고민 중이네요~
254,5,동일제품 검정색도 있지만 발볼이 이전 맥스보다는 좁게 만들어 졌습니다.발볼이 넓으신 분은 한치수 크게 주문하시기 추천합니다.
255,5,배송이 늦은거 빼고는 대만족입니다.
256,5,나이키를 저렴하게 잘샀네요. 잘신을께요 많이파세요
257,4,배송은 늦지만 싸게 잘사서 만족합니다신발은 편하고 이쁘네요
258,5,올검신고있는데 좋아서 흰색도 시켰어요역시 좋아요
259,4,상품평보니  배송이  많이  늦다고  말들이 많은데  생각보다  빠른배송이 왓네요  ㅋ 아마도   내가 주문한  신발이   재고가 남아  잇엇나보네요   디자인 깔끔한 마감처리 좋앗으나   발볼이  ？？으신분은    딱 정사이즈여서     한치수 큰걸 로 구입 하시는게 좋을듯  싶네요
260,5,오! 이번에 제거는 마감처리가 진짜 깔끔하게 잘 되었어요.이가격에 이 신발을 살수 있어서 너무 좋네요.소문 많이 내겠습니다
261,1,정품이라지만 짝퉁티 너무난다
262,1,짝퉁인듯 정품인듯 짝퉁같은 신발
263,5,화면보다 예쁜신발입니다.
264,5,와.. 웬간하면 글 안남기는데 진짜 최고입니다
265,5,배송도 빠르고 만족합니다 잘 신을께요~~~
266,5,가볍고 좋은데 짝퉁은 아니겠죠? 사이즈는 크게 나온거같아요
267,3,사진과 동일하며 가격과 품질은 동일하네요.
268,4,두치수 크게 주문해야 할뜻발볼은 넓게 나왔슷데 발등폭이 높게 나와키높이신발 신은 느끼입니다
269,4,제품은  마음에  들어요  배송은 보통
270,4,사이즈도 괜찮고 마감도 괜찮고 뭐 많은걸 바라지않아서 그런지 만족하네요.
271,4,배송 빨리해주셨는데 택배사가 하루 묵혔다줘서 당황했습니다.
272,4,신발은 좋네요그런데 다음날 뱅송된다고 광고하는데10시이전 구매만 다음날 받아본다는데그런 내용을 명기해주면 오해가 없을것같네요그래도 화요일 12시구매했는데 금요일 오후에 물건을 받으니 기분은 별로네요
273,5,배송 진짜 빨라요. 남편이 마음에 든대요.
274,5,신발 좋아요 가볍고 착용감도 좋아요근데 눈 올 때 살얼음 언 곳에서는 많이 미끄러워요. 그거 말고는 다 좋아요
275,5,배송도 빠르고너무 싸게 잘 샀어요. 쿠팡에서 같은모델 27만원 봤는데 ㅋㅋ 고맙습니다!
276,5,어제 주문하고 오늘 잘받았어요매번 나이키매장에서 에어맥스 15만원후반대로 구매해 신었는데온라인에서 사긴 첨이에요.짭인지 정품인지는 저는 잘모르겠지만신발은 깔끔하니 집에있는 에어맥스랑 느낌이같아요~~신랑사이즈도 남아 있어서 275화이트 남자것두 방금 주문했어요.검품 잘해서 보내주세요~~
277,5,신발상태가좋네요 발볼이조금 넓은편인데 잘맞고요 280시켰습니다. 신발도가볍고 배송도 2틀만에도착했습니다. 또재구매의사있습니다 번창하세요
278,5,한시간 넘게 신발보다 유일하게 사이즈있고 배송빠른곳에서 샀어요.친정오빠 생일선물로 보냈는데 맘에 든다고합니다.남편것으로 재구매각입니다. 이쁘데요~^^
279,5,빨리 도착해서 너무나 감사합니다?상품도 생각보다 너무 좋고 많이 더욱더 번창하세요
280,5,배송은솔직히 느렷어요 근데상품은아주좋아요
281,5,배송이 너무 빨라 놀랐습니다 하루만에 왔네요 감사합니다 ?
282,5,상품이 가격대비 너무좋아요.잘 맞고 편하고 아무 실망안할것 같아요.
283,5,갠적으로 에어맥스 중 디자인 젤 무난하면서 이쁜거 같아요 일단 운동화가 엄청 가벼워요 이렇게 가벼워도 되나 싶을정도로 ㅋ깔창도 빼고 박음질이나 본드 칠 살펴봤는데 마감도 흠잡을곳이 없네요착용감도 편하고 쿠션도 좋고 정사이즈에요가격이 너무 싸서 정품인가 의문이 들지만...병행수입이라 as안되도 정품이라곤 하지만...ㅎㅎ이정도 퀄리티면 짭이여도 만족할거 같아요배송도 빨라요 어제 아침에 주문하고 오늘받음 제가 주문한 사이즈가 국내에 재고가 있다고 하더니 빨리받음. 재고체크 하고 사세요
284,5,상품잘받았습니다.마감도 깔끔하고 사이즈도 정사이즈로 잘맞네요.착용감도 에어가 푹신한게 참좋네요.애용하겠습니다.
285,5,집사람것과 같이구입했는데 디자인.사이즈.착용감.재질.가격. 모두 만족입니다
286,5,아주 만족합니다. 디자인도 이쁘고  마감도 잘되어있습니다.
287,5,집사람이 아주만족합니다 색상블랙사길 잘했다고 또만족암튼 번창하세요
288,5,보신데로  똑 같습니다다른거하나더 신청하려구요강추~~~go
289,3,솔직히 좋아하는 디자인라서 좋긴 한데 왼쪽 신발이 오른쪽 과 달라요.끝마무리가 좋질 않네요.그리고 폭도 좀 다른것 같아요.
290,5,"신발이 고급스럽고 너무 좋습니다!!^^

다음에도 구입할께요"
291,4,아주아주아주 느려요물건은 좋아요3주도 넘게 걸린듯합니다
292,5,나이키 에어맥스 정품이 정답이다. 지에스샵 믿을 만한 곳
293,5,가격대비 최고의 제품임말이 필요없음 구름위를 걷는듯한 그런느낌적인 느낌?딱 이거임
294,5,제품 디자인 다 좋습니다. 사이즈는 5mm 정도 작은것 같기도 하고...잘 받았습니다.
295,3,"이 제품을 구매하신 대다수의 분들이 진퉁이냐 짭퉁이냐, 대체 언제쯤 오냐를 두고 걱정을 많이 하신거 같아서 제가 상세하게 알려드려보고자 합니다. 우선 저는 12월 5일 저녁즈음에 구매를 하였고 배송시작은 6일 이루어졌고, 딱 일주일만인 오늘 오전&amp;#40;12일&amp;#41;에 받았습니다. 저또한 큐앤에이를 보면서 불안하기도 했고 정가가 219000원인점을 봤을때 과연 진짜 정품인가를 두고 유튜브나 블로그 검색을 통해서 이것저것 비교하면서 꼼꼼하게 알아본 결과는..잘모르겠다 입니다. 우선 사진을 보시면 아시겠지만 마감처리가 굉장히 우수합니다. 진짜 일반인은 이게 정품인지 가품인지 비교를 못할정도 입니다. 무슨말이냐면 가품과 정품을 비교한 글이나 영상에 나왔던 정품의 특성들 모두가 이 제품에 적용되어 있었거든요. 나이키 로고, 박음질, 두깨, 택 등등 그냥 정품이라고 봐도 무방한데 아니 그래서 사실 정품이 맞는거 같다 생각되면서도 두번째 사진에 보시면 뒷면 엠자탈모 부분이라고 해야할까요? 오른쪽 신발이 약간 삐뚫어져 있습니다. 이 부분에서 다시 의심 스멜이 올라오더라구요. 자 이제 결론입니다. 일단 저는 이 제품을 정품이라 생각하고 신으려고 합니다. 사실 에어맥스라는 시리즈 자체가 이뻐서 인기가 많지만 에어때문에 착화감이 좋아서 신는 경우도 많거든요. 만약에 이게 짝퉁이라면 신은지 얼마 안돼서 에어가 터진다던지 아니면 착화감이 좋지 않거나 불편할겁니다. 에어팟과 겉모습이 똑같이 생긴 중국 짝퉁은 많지만 무선 음질과 페어링, 배터리, 호환성은 절대 따라갈수 없듯이 신발 본래의 기능인 발을 잘 감싸주고 편안하게 해주느냐가 가장 중요한 문제라고 생각합니다. 짝퉁은 모습은 흉내낼 수 있어도 나이키가 걸어온 길을 흉내내진 못할거에요. 뭔가 수박 겉핥기식 리뷰인거 같아 마음이 찜찜합니다. 신어보고 문제점을 나타나면 다시 찾아오겠습니다. 그럴 일 없었으면 좋겠네요."
296,1,주문날짜 11월 12일 왜안오냐는 질문에 대한통운 파업을 얘기했지만 받고보니 홍콩에서 택배보낸게 한참뒤인 11월 29일 내 살면서 이렇게 오랜만에 택배받는건 첨인데 진짜 판매자가 사람을 화나게 잘하는거 같나 그나마 그냥 질문에 몇번 글쓰고 말았지만 내가 성격이.지랄같았으면 전화하고 진상을 떨었을거 같음  결과적으로 한달만에 받았는데 그나마 물건이 하자가 없어서 내가 별하나라도 남기는 바입니다
297,1,오늘 드디어 받았어요배송 느리고 느린건 해외배송이라 그렇다치는데 판매자 피드백 주는게 진짜 최악입니다 묻는말 다무시하고 택배 파업드립 무한반복 ㅋㅋ진짜 열받아 죽을뻔했는데 다행히 왔어요 운동화는 정품은 아닌거 같지만 그냥저냥 괜찮음 근데 진짜 판매자님이 정말 최악이였음...........
298,5,여태껏 샀던 런닝화중 젤 맘에듭니다.인비고 사이즈 작게나왔다하는데 잘 모르겠고 정사이즈 가니까 딱좋습니다.
299,1,주문날짜 11월 12일왜안오냐는 질문에 대한통운 파업을 얘기했지만 받고보니홍콩에서 택배보낸게 한참뒤인 11월 29일내 살면서 이렇게 오랜만에 택배받는건 첨인데 진짜 판매자가 사람을 화나게 잘하는거 같나그나마 그냥 질문에 몇번 글쓰고 말았지만 내가 성격이.지랄같았으면 전화하고 진상을 떨었을거 같음결과적으로 한달만에 받았는데 그나마 물건이 하자가 없어서 내가 별하나라도 남기는 바입니다
300,1,26일인지 25일인지 만에 왔네요 네참을성 많으신 분 구매하세요
301,5,"배송 빠르고 신발 디자인도 깔끔하고 예뻐요^^
신랑이  발도 편하다고 해요"
302,5,11월14일 주문하고 오늘 받았어요ㅠ.ㅠ기다리면서 문의도 하고 항의도 하고..배송완료로 되어 있는데 물건은 오지도 않고 참 답답했어요..오늘 받아서 신랑 신어보더니 정품 같다고..마감처리도 깨끗하다고 하니 기다리며 보낸 시간이나 스트레스도 다 해결된 기분이예요~배송이 너무 오래 걸린거랑 중간중간 안내가 부족했던 것만 빼면 상품은 만족입니다~~
303,5,배송은 정확히 20일 걸렸네요. 오래기다린만큼 물건이 엉망이면 진상부릴려고 벼르고 있었는데 막상 받아보니 정품 맞고 사진만큼 이뻐서 만족합니다. 배송지연으로 사장님이 애좀 먹겠네요.
304,5,해외 배송이라 약간 걱정스러웠는데.. 오늘 받아보고 만족했습니다.. 물건너 오기때문에 어느 정도 시간이 필요한 건 고려하시고 구매하세요~~~
305,5,홍콩?에서 온 것 같네요.직구인지 모르고 샀다가 일주일 정도 걸린 것 같아요.가격 싸게 좋은 물건 구입했습니다
306,4,신발은 맘？z들어요. 하지만 배송이 문제네요배송이 늦어지면 미리 연락주셨으면합니다
307,5,접착제가 떠있고 마감이 많이 미흡합니다  급한데로 신었는데 AS접수하려합니나
308,5,아들이 좋다고 하네요 잘 신겠습니다
309,5,"배송도 빠르고, 가격이 제일 마음에 들어요."
310,5,접착제가 떠있고 마감이 많이 미흡합니다  급한데로 신었는데 AS접수하려합니나
311,5,아들이 좋다고 하네요 잘 신겠습니다
312,5,"이상품 왜 품절이 잦은지 알겠네요
적극추천 합니다"
313,5,배송 빠르구요..  올 블랙은 처음 주문인데 깔끔하네요..에어맥스 통풍 잘 되고 편해서 계속 신는데 사이즈 없어서 애먹다가  이곳에서 간신히 주문~  가격땜에 휘청 ㅠ
314,4,해외배송이라 늦긴 하네요~ 진품인지 가품인지는 알 수 없지만 저렴하게 샀으니 이걸로 만족!!
315,5,11월21일 주문해서 12월5일 EMS 택배로 받았습니다.대략 2주 정도 걸린것 같습니다.
316,5,우와~~하루만에`~배송이네요`~엄청빠름`~ 댓글에 느리다고 해서 걱정했는데 전 하루만에 받았네요`~^^ 품질도 좋고 만족이용`~^^
317,5,배송이 늦어서 그렇지 신발은 좋아요
318,4,배송은 뭐..해외라서 이해 합니다.물건 좋습니다~
319,1,주문후 18일만에 받았습니다  제품은 정사이즈 입니다 좀 불편함  동생 조야 겠내요 완전 비추 입니다
320,4,11. 18. 결제해서 12.04. 받았어요. 신발은 괜찮아요.
321,5,어째저째해서 드디어 받았습니다..고생 많으셨습니다 ^*
322,5,상품은 괜찮아요 배송은 한달 생각하고 주문하세요
323,1,주문한지 한달가까이되도록 받아보지 못함
324,4,처음으로 구매를 하였는데 상품도 괜찮고 신을만 합니다 고맙습니다
325,5,생각보다빠른배송 동일상품 검흰 백화점구매건보유.비교해보니 정품맞는듯 나름만족함
326,5,할인된 가격으로 잘 구매했습니다.
327,5,아들이 마음에들어하네요~~
328,5,남편이 마음에들어해서 기분좋네요^^
329,5,너무 편하고 이쁘네요 마음에 쏙들어요
330,5,좋아요  발도 편하고 예뻐요~~
331,5,쿠션이 좋아서 발이 완전 편하네요
332,4,불량이 와서 교환하느라 오래 걸렸지만 편하네요.
333,4,결제주문기준으로 16일만에 받앗습니다...어찌？祁？ 잘신겟습니다.
334,5,제품 배송 모두 만족합니다근데 배송이 조금 느리네요하지만 제품 자체는 너무 좋아요 많이 파세요
335,5,가볍습니다. 정말 마음에 드네요^^
